epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.075,1.34577,3.28853,1.88432,0.4238,0.51971,0.37364,0.21767,1.46874,3.11394,2.28263,0.000255952,0.000255952,0.000255952
2,268.041,1.28182,2.37121,1.80551,0.46699,0.54272,0.51111,0.31623,1.4012,2.67702,2.1587,0.000491999,0.000491999,0.000491999
3,378.127,1.2722,2.12964,1.79273,0.55146,0.63678,0.58053,0.36537,1.42161,2.12667,2.19077,0.000707744,0.000707744,0.000707744
4,476.027,1.22065,1.97264,1.74863,0.47532,0.69008,0.63076,0.36672,1.39638,1.87063,2.06388,0.000677643,0.000677643,0.000677643
5,566.333,1.17205,1.83311,1.71274,0.61434,0.66803,0.67398,0.41484,1.36232,1.69424,2.03176,0.00064719,0.00064719,0.00064719
6,657.74,1.12074,1.75478,1.67877,0.71355,0.78286,0.762,0.48915,1.33303,1.53631,1.98299,0.000616738,0.000616738,0.000616738
7,750.365,1.12363,1.70318,1.67447,0.6905,0.73563,0.71743,0.45425,1.37267,1.60638,2.03453,0.000586286,0.000586286,0.000586286
8,844.306,1.07726,1.61423,1.64838,0.69168,0.74074,0.74887,0.48066,1.30001,1.38316,1.94642,0.000555833,0.000555833,0.000555833
9,937.862,1.02649,1.58017,1.60551,0.71909,0.70829,0.71653,0.45931,1.38751,1.48275,2.02648,0.000525381,0.000525381,0.000525381
10,1031.93,1.00184,1.56191,1.59241,0.70902,0.72444,0.7376,0.48306,1.34227,1.36452,2.00401,0.000494928,0.000494928,0.000494928
11,1126.13,0.98216,1.53412,1.57754,0.68397,0.76336,0.74356,0.51007,1.27093,1.33966,1.91958,0.000464476,0.000464476,0.000464476
12,1220.62,0.96163,1.44838,1.55762,0.73931,0.80586,0.78145,0.53212,1.2947,1.26892,1.86245,0.000434024,0.000434024,0.000434024
13,1315.88,0.95238,1.43525,1.55519,0.68531,0.73938,0.74484,0.49472,1.34247,1.26878,1.96715,0.000403571,0.000403571,0.000403571
14,1411.55,0.92312,1.4204,1.53442,0.69703,0.82415,0.73937,0.49671,1.22063,1.26425,1.78498,0.000373119,0.000373119,0.000373119
15,1506.64,0.90853,1.37042,1.52249,0.68289,0.75656,0.72419,0.50547,1.21745,1.2891,1.77146,0.000342666,0.000342666,0.000342666
16,1608.22,0.95323,1.25661,1.78556,0.74228,0.775,0.79478,0.57856,1.09715,1.20918,1.69534,0.000312214,0.000312214,0.000312214
17,1707.25,0.91894,1.19427,1.7581,0.71541,0.78181,0.76626,0.56698,1.12046,1.19024,1.76211,0.000281762,0.000281762,0.000281762
18,1802.38,0.8829,1.13671,1.73891,0.78198,0.81772,0.79445,0.54952,1.13875,1.23533,1.71441,0.000251309,0.000251309,0.000251309
19,1896.62,0.86253,1.07837,1.70018,0.76214,0.79101,0.79183,0.58219,1.02664,1.19805,1.59508,0.000220857,0.000220857,0.000220857
20,1990.77,0.8485,1.03822,1.68598,0.73077,0.83686,0.79155,0.57954,1.04975,1.22462,1.61732,0.000190404,0.000190404,0.000190404
21,2084.98,0.80132,1.00634,1.63515,0.72695,0.82662,0.77614,0.58277,1.01832,1.20679,1.57114,0.000159952,0.000159952,0.000159952
22,2178.17,0.78183,0.95104,1.61572,0.75783,0.80368,0.78913,0.60279,0.97157,1.17161,1.51373,0.0001295,0.0001295,0.0001295
23,2271.79,0.76863,0.92209,1.61488,0.74099,0.81768,0.79023,0.61028,0.9887,1.10282,1.53274,9.90472e-05,9.90472e-05,9.90472e-05
24,2365.9,0.75844,0.91259,1.59543,0.73846,0.80134,0.80064,0.62006,0.95598,1.13632,1.47245,6.85948e-05,6.85948e-05,6.85948e-05
25,2459.37,0.73882,0.86353,1.57865,0.73665,0.78076,0.78697,0.61441,0.94427,1.12956,1.45642,3.81424e-05,3.81424e-05,3.81424e-05
